message;severity;node;stamp;topics;location
"ODOM PUBLISH";"2";"/base_node";"1751108156.139142216";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.088395426";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.038324090";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.987351211";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.936319946";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.885949486";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.835523546";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.785156734";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.734648388";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.684050617";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.633783156";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.583689526";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.532410431";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.481924769";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.431569717";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.381176887";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.330689189";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.280434654";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.229999028";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.178864950";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108155.128746487";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
